2020-04-09;Acesian Partners              ;        ;SGD ;000.000;000.000;000.005;+00.000;0000000000;  000.006;  000.016;CATALIST     ;000.000;00000000000;5FW ;000.000;
2020-04-09;Acma^                         ;        ;SGD ;000.000;000.000;000.099;+00.000;0000000000;  000.071;  000.099;MAINBOARD    ;000.000;00000000000;AYV ;000.000;
2020-04-09;Acromec                       ;        ;SGD ;000.000;000.000;000.051;+00.000;0000000000;  000.050;  000.076;CATALIST     ;000.000;00000000000;43F ;000.000;
2020-04-09;Addvalue Tech                 ;        ;SGD ;000.022;000.021;000.022;+00.002;0009290100;  000.021;  000.022;MAINBOARD    ;000.021;00000195126;A31 ;000.000;
2020-04-09;Advanced Systems              ;        ;SGD ;000.000;000.000;000.001;+00.000;0000000000;  000.000;  000.001;CATALIST     ;000.000;00000000000;5TY ;000.000;
2020-04-09;Advanced^                     ;        ;SGD ;000.000;000.000;000.031;+00.000;0000000000;  000.040;  000.100;MAINBOARD    ;000.000;00000000000;BLZ ;000.000;
2020-04-09;Advancer Global               ;        ;SGD ;000.000;000.000;000.149;+00.000;0000000000;  000.072;  000.149;CATALIST     ;000.000;00000000000;43Q ;000.000;
2020-04-09;Adventus                      ;        ;SGD ;000.004;000.004;000.004;+00.000;0002932200;  000.004;  000.005;CATALIST     ;000.004;00000011729;5EF ;000.000;
2020-04-09;AliPictures HKD               ;        ;HKD ;000.000;000.000;001.170;+00.000;0000000000;  000.000;  000.000;MAINBOARD    ;000.000;00000000000;S91 ;000.000;
2020-04-09;Alita Resources               ;SUSP    ;SGD ;000.000;000.000;000.078;+00.000;0000000000;  000.000;  000.000;CATALIST     ;000.000;00000000000;40F ;000.000;
2020-04-09;Alliance HC                   ;        ;SGD ;000.000;000.000;000.197;+00.000;0000000000;  000.000;  000.197;CATALIST     ;000.000;00000000000;MIJ ;000.000;
2020-04-09;Allied Tech                   ;SUSP    ;SGD ;000.000;000.000;000.011;+00.000;0000000000;  000.000;  000.000;CATALIST     ;000.000;00000000000;A13 ;000.000;
2020-04-09;Alpha Energy                  ;SUSP    ;SGD ;000.000;000.000;000.032;+00.000;0000000000;  000.000;  000.000;CATALIST     ;000.000;00000000000;5TS ;000.000;
2020-04-09;Amara                         ;        ;SGD ;000.330;000.320;000.330;+00.010;0000044700;  000.325;  000.330;MAINBOARD    ;000.330;00000014508;A34 ;000.000;
